"Designator","Value","Footprint","Quantity","Part Number"
"C1,C6","4.7uF","Capacitor_SMD:C_0402_1005Metric","2","CL05A475MP5NRNC"
"C3,C4,C8,C10,C14-C18,C21-C23,C26-C28","100nF","Capacitor_SMD:C_0402_1005Metric","15","CL05B104KP5NNNC"
"C7,C9,C11,C12","22uF","Capacitor_SMD:C_0402_1005Metric","4","CL05A226MQ5N6J8"
"C19,C20","15pF","Capacitor_SMD:C_0402_1005Metric","2","CL05C150JB5NNNC"
"C24,C25","2.2uF","Capacitor_SMD:C_0402_1005Metric","2","CL05A225MQ5NNNC"
"J2","USB3_A","Connector_USB:USB3_A_Plug_Wuerth_692112030100_Horizontal","1","XUSM-0930-231"
"J4","Micro_SD_Card_Det_Hirose_DM3AT","Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5","1","DM3AT-SF-PEJM5"
"L1,L2","2.2uH","Inductor_SMD:L_Changjiang_FTC303015D","2","SRN3015-2R2M"
"R1,R2,R4,R5","100k","Capacitor_SMD:C_0402_1005Metric","4","RC0402FR-07100KL"
"R3","450k","Capacitor_SMD:C_0402_1005Metric","1","RC0402FR-07453KL"
"RN1,RN2","47k","Resistor_SMD:R_Array_Concave_4x0402","2","CAT10-473J4LF"
"SW1","SW_Push","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","1","SKRKAEE020"
"U1","CH569W","Package_DFN_QFN:QFN-68-1EP_8x8mm_P0.4mm_EP5.2x5.2mm","1","CH569W"
"U2,U3","TLV62569DBV","Package_TO_SOT_SMD:SOT-23-5","2","TLV62569DBV"
"U5-U7","TPD2EUSB30","Package_TO_SOT_SMD:Texas_DRT-3","3","TPD2EUSB30DRTR"
"Y2","30Mhz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1","ABM8-30.000MHZ-12-B1U-T"
