Ref,Val,Package,PosX,PosY,Rot,Side
"C13","22uF","C_0402_1005Metric",138.800000,-110.100000,-90.000000,bottom
"C14","100nF","C_0402_1005Metric",134.100000,-106.200000,0.000000,bottom
"C16","100nF","C_0402_1005Metric",134.100000,-102.100000,0.000000,bottom
"C18","100nF","C_0402_1005Metric",134.100000,-101.100000,0.000000,bottom
"C22","100nF","C_0402_1005Metric",134.100000,-103.100000,0.000000,bottom
"C24","2.2uF","C_0402_1005Metric",134.100000,-105.200000,0.000000,bottom
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",113.700000,-98.700000,180.000000,bottom
"FID5","Fiducial","Fiducial_0.5mm_Mask1mm",111.800000,-108.900000,180.000000,bottom
"FID6","Fiducial","Fiducial_0.5mm_Mask1mm",136.400000,-110.500000,180.000000,bottom
"J2","USB3_A","USB3_A_Plug_Wuerth_692112030100_Horizontal",150.250000,-104.200000,0.000000,bottom
"J4","Micro_SD_Card_Det_Hirose_DM3AT","microSD_HC_Hirose_DM3AT-SF-PEJM5",124.195000,-104.030000,90.000000,bottom
"U7","TPD2EUSB30","Texas_DRT-3",137.150000,-105.650000,-90.000000,bottom
"C1","4.7uF","C_0402_1005Metric",113.240000,-98.900000,-90.000000,top
"C3","100nF","C_0402_1005Metric",114.720000,-99.400000,0.000000,top
"C4","100nF","C_0402_1005Metric",112.700000,-104.720000,90.000000,top
"C6","4.7uF","C_0402_1005Metric",111.700000,-104.720000,90.000000,top
"C7","22uF","C_0402_1005Metric",118.980000,-108.700000,180.000000,top
"C8","100nF","C_0402_1005Metric",118.980000,-110.700000,180.000000,top
"C9","22uF","C_0402_1005Metric",119.240000,-97.400000,180.000000,top
"C10","100nF","C_0402_1005Metric",121.140000,-97.400000,0.000000,top
"C11","22uF","C_0402_1005Metric",119.220000,-102.000000,180.000000,top
"C12","22uF","C_0402_1005Metric",118.980000,-109.700000,180.000000,top
"C15","100nF","C_0402_1005Metric",129.600000,-109.500000,-90.000000,top
"C17","100nF","C_0402_1005Metric",122.900000,-102.500000,180.000000,top
"C19","15pF","C_0402_1005Metric",137.700000,-110.000000,-90.000000,top
"C20","15pF","C_0402_1005Metric",132.500000,-109.600000,90.000000,top
"C21","100nF","C_0402_1005Metric",122.900000,-104.500000,180.000000,top
"C23","100nF","C_0402_1005Metric",122.900000,-103.500000,180.000000,top
"C25","2.2uF","C_0402_1005Metric",130.600000,-109.500000,-90.000000,top
"C26","100nF","C_0402_1005Metric",128.600000,-109.500000,-90.000000,top
"C27","100nF","C_0402_1005Metric",134.125000,-105.200000,0.000000,top
"C28","100nF","C_0402_1005Metric",134.125000,-106.150000,180.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",115.500000,-110.800000,0.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",135.200000,-97.400000,0.000000,top
"FID4","Fiducial","Fiducial_0.5mm_Mask1mm",109.600000,-106.600000,0.000000,top
"L1","2.2uH","L_Changjiang_FTC303015D",118.515000,-106.360000,0.000000,top
"L2","2.2uH","L_Changjiang_FTC303015D",119.300000,-99.700000,0.000000,top
"R1","100k","C_0402_1005Metric",113.580000,-109.500000,180.000000,top
"R2","100k","C_0402_1005Metric",112.000000,-108.900000,90.000000,top
"R3","450k","C_0402_1005Metric",116.300000,-104.000000,180.000000,top
"R4","100k","C_0402_1005Metric",114.400000,-104.000000,180.000000,top
"R5","100k","C_0402_1005Metric",118.700000,-104.000000,0.000000,top
"RN1","47k","R_Array_Concave_4x0402",126.700000,-98.100000,90.000000,top
"RN2","47k","R_Array_Concave_4x0402",129.300000,-98.100000,90.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",122.100000,-108.600000,-90.000000,top
"U1","CH569W","QFN-68-1EP_8x8mm_P0.4mm_EP5.2x5.2mm",128.522500,-103.940000,180.000000,top
"U2","TLV62569DBV","SOT-23-5",114.580000,-107.300000,180.000000,top
"U3","TLV62569DBV","SOT-23-5",115.400000,-101.700000,180.000000,top
"U5","TPD2EUSB30","Texas_DRT-3",139.300000,-107.200000,-90.000000,top
"U6","TPD2EUSB30","Texas_DRT-3",139.275000,-101.200000,-90.000000,top
"Y2","30Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",135.070000,-109.770000,0.000000,top
